1/10/1997,0,0,0
1/10/1997,1,0,0
1/10/1997,2,0,0
1/10/1997,3,0,0
1/10/1997,4,0,0
1/10/1997,5,0,0
1/10/1997,6,0,0
1/10/1997,7,0,0
1/10/1997,8,0,0
1/10/1997,9,0,0
1/10/1997,10,0,0
1/10/1997,11,0,0
1/10/1997,12,0,0
1/10/1997,13,0,0
1/10/1997,14,0,0
1/10/1997,15,0,0
1/10/1997,16,0,0
1/10/1997,17,0,0
1/10/1997,18,0,0
1/10/1997,19,0,0
1/10/1997,20,0,0
1/10/1997,21,0,0
1/10/1997,22,1,1
1/10/1997,23,1,1
1/11/1997,0,3,3
1/11/1997,1,1,1
1/11/1997,2,1,1
1/11/1997,3,1,1
1/11/1997,4,1,1
1/11/1997,5,1,1
1/11/1997,6,1,1
1/11/1997,7,1,1
1/11/1997,8,1,1
1/11/1997,9,1,1
1/11/1997,10,2,2
1/11/1997,11,2,2
1/11/1997,12,2,2
1/11/1997,13,2,2
1/11/1997,14,2,2
1/11/1997,15,1,1
1/11/1997,16,1,1
1/11/1997,17,1,1
1/11/1997,18,1,1
1/11/1997,19,1,1
1/11/1997,20,1,1
1/11/1997,21,1,1
1/11/1997,22,1,1
1/11/1997,23,1,1
1/12/1997,0,1,1
1/12/1997,1,1,1
1/12/1997,2,1,1
1/12/1997,3,1,1
1/12/1997,4,1,1
1/12/1997,5,1,1
1/12/1997,6,1,1
1/12/1997,7,1,1
1/12/1997,8,1,1
1/12/1997,9,1,1
1/12/1997,10,2,2
1/12/1997,11,2,2
1/12/1997,12,2,2
1/12/1997,13,1,1
1/12/1997,14,1,1
1/12/1997,15,1,1
1/12/1997,16,1,1
1/12/1997,17,1,1
1/12/1997,18,1,1
1/12/1997,19,4,1
1/12/1997,20,4,1
1/12/1997,21,4,1
1/12/1997,22,4,1
1/12/1997,23,4,1
1/13/1997,0,4,1
1/13/1997,1,4,1
1/13/1997,2,4,1
1/13/1997,3,4,1
1/13/1997,4,4,1
1/13/1997,5,4,1
1/13/1997,6,4,1
1/13/1997,7,4,1
1/13/1997,8,3,3
1/13/1997,9,3,3
1/13/1997,10,3,3
1/13/1997,11,4,1
1/13/1997,12,1,1
1/13/1997,13,1,1
1/13/1997,14,2,2
1/13/1997,15,2,2
1/13/1997,16,2,2
1/13/1997,17,2,2
1/13/1997,18,2,2
1/13/1997,19,2,2
1/13/1997,20,1,1
1/13/1997,21,1,1
1/13/1997,22,1,1
1/13/1997,23,1,1
1/14/1997,0,1,1
1/14/1997,1,1,1
1/14/1997,2,1,1
1/14/1997,3,1,1
1/14/1997,4,1,1
1/14/1997,5,1,1
1/14/1997,6,1,1
1/14/1997,7,1,1
1/14/1997,8,1,1
1/14/1997,9,1,1
1/14/1997,10,1,1
1/14/1997,11,1,1
1/14/1997,12,1,1
1/14/1997,13,1,1
1/14/1997,14,1,1
1/14/1997,15,1,1
1/14/1997,16,1,1
1/14/1997,17,1,1
1/14/1997,18,1,1
1/14/1997,19,0,0
1/14/1997,20,0,0
1/14/1997,21,0,0
1/14/1997,22,0,0
1/14/1997,23,0,0
1/15/1997,0,0,0
