station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KBUF,2022-11-19 00:00:00,4,300.0,8660.0,-54.7,-69.7,270.0,54,90.0,17.0
KBUF,2022-11-19 00:00:00,5,289.0,8898.0,-55.3,-68.3,M,M,M,M
KBUF,2022-11-19 00:00:00,5,283.0,9032.0,-54.7,-73.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,278.1,9144.0,M,M,265.0,61,90.0,18.0
KBUF,2022-11-19 00:00:00,5,258.0,9624.0,-53.3,-77.3,M,M,M,M
KBUF,2022-11-19 00:00:00,4,250.0,9830.0,-53.5,-77.5,260.0,74,89.0,21.0
KBUF,2022-11-19 00:00:00,5,246.0,9933.0,-54.1,-76.1,M,M,M,M
KBUF,2022-11-19 00:00:00,6,230.1,10363.0,M,M,265.0,82,88.0,23.0
KBUF,2022-11-19 00:00:00,5,226.0,10479.0,-51.3,-80.3,M,M,M,M
KBUF,2022-11-19 00:00:00,6,219.5,10668.0,M,M,260.0,72,88.0,24.0
KBUF,2022-11-19 00:00:00,5,209.0,10984.0,-53.1,-81.1,M,M,M,M
KBUF,2022-11-19 00:00:00,5,202.0,11203.0,-52.3,-82.3,M,M,M,M
KBUF,2022-11-19 00:00:00,4,200.0,11270.0,-52.5,-81.5,260.0,84,87.0,27.0
KBUF,2022-11-19 00:00:00,5,158.0,12783.0,-54.3,-84.3,M,M,M,M
KBUF,2022-11-19 00:00:00,6,157.6,12801.0,M,M,260.0,88,86.0,34.0
KBUF,2022-11-19 00:00:00,4,150.0,13120.0,-53.9,-84.9,255.0,76,85.0,36.0
KBUF,2022-11-19 00:00:00,5,137.0,13701.0,-53.3,-85.3,M,M,M,M
KBUF,2022-11-19 00:00:00,6,130.3,14020.0,M,M,250.0,71,84.0,39.0
KBUF,2022-11-19 00:00:00,6,107.6,15240.0,M,M,250.0,74,82.0,44.0
KBUF,2022-11-19 00:00:00,5,102.0,15579.0,-56.9,-86.9,M,M,M,M
KBUF,2022-11-19 00:00:00,4,100.0,15710.0,-56.7,-86.7,255.0,82,82.0,46.0
KBUF,2022-11-19 00:00:00,6,97.8,15849.0,M,M,255.0,82,82.0,47.0
KBUF,2022-11-19 00:00:00,5,91.2,16294.0,-55.3,-87.3,M,M,M,M
KBUF,2022-11-19 00:00:00,5,88.8,16464.0,-53.7,-86.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,73.4,17678.0,M,M,250.0,70,80.0,54.0
KBUF,2022-11-19 00:00:00,4,70.0,17980.0,-56.3,-87.3,245.0,50,80.0,55.0
KBUF,2022-11-19 00:00:00,5,69.5,18026.0,-56.7,-87.7,M,M,M,M
KBUF,2022-11-19 00:00:00,5,68.0,18163.0,-54.9,-87.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,66.7,18288.0,M,M,245.0,50,80.0,56.0
KBUF,2022-11-19 00:00:00,5,62.3,18715.0,-59.5,-88.5,M,M,M,M
KBUF,2022-11-19 00:00:00,5,60.8,18868.0,-57.7,-88.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,60.5,18897.0,M,M,225.0,54,79.0,58.0
KBUF,2022-11-19 00:00:00,5,60.1,18941.0,-58.1,-89.1,M,M,M,M
KBUF,2022-11-19 00:00:00,5,59.3,19026.0,-56.1,-88.1,M,M,M,M
KBUF,2022-11-19 00:00:00,6,57.7,19202.0,M,M,235.0,65,79.0,58.0
KBUF,2022-11-19 00:00:00,5,55.0,19505.0,-54.7,-87.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,55.0,19507.0,M,M,250.0,60,78.0,59.0
KBUF,2022-11-19 00:00:00,4,50.0,20120.0,-57.5,-88.5,240.0,67,78.0,62.0
KBUF,2022-11-19 00:00:00,5,46.4,20588.0,-59.5,-89.5,M,M,M,M
KBUF,2022-11-19 00:00:00,5,45.7,20683.0,-58.3,-89.3,M,M,M,M
KBUF,2022-11-19 00:00:00,6,45.4,20726.0,M,M,240.0,71,77.0,64.0
KBUF,2022-11-19 00:00:00,5,42.9,21079.0,-59.3,-89.3,M,M,M,M
KBUF,2022-11-19 00:00:00,5,41.8,21241.0,-58.7,-90.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,41.2,21336.0,M,M,255.0,60,77.0,66.0
KBUF,2022-11-19 00:00:00,5,40.8,21394.0,-54.3,-89.3,M,M,M,M
KBUF,2022-11-19 00:00:00,5,37.2,21980.0,-57.3,-89.3,M,M,M,M
KBUF,2022-11-19 00:00:00,5,36.6,22083.0,-56.7,-89.7,M,M,M,M
KBUF,2022-11-19 00:00:00,5,35.9,22206.0,-53.5,-88.5,M,M,M,M
KBUF,2022-11-19 00:00:00,6,35.7,22250.0,M,M,255.0,55,77.0,69.0
